age_yrs,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday
1,Juvenile/Adult,365,75333.83867491885,12574.078796830718,206.3940785614215,34.449530950221146
2,Juvenile/Adult,365,126708.44115896728,21536.94710939163,347.14641413415694,59.005334546278434
3,Juvenile/Adult,365,156519.50973521388,25756.196669106026,428.82057461702436,70.5649223811124
4,Juvenile/Adult,365,185086.17838909494,30103.257864850944,507.08542024409576,82.4746790817834
5,Juvenile/Adult,365,211673.0344380064,34363.91767408076,579.9261217479627,94.14771965501578
6,Juvenile/Adult,365,235798.99676456343,38281.58921604492,646.0246486700368,104.88106634532855
7,Juvenile/Adult,365,257283.22596308516,41736.15530957633,704.885550583795,114.34563098514063
8,Juvenile/Adult,365,276151.4449749246,44701.13660100422,756.5793013011634,122.46886740001156
9,Juvenile/Adult,365,292529.8329365376,47174.33989871937,801.4515970864045,129.2447668458065
10,Juvenile/Adult,365,306686.34730409423,49289.42934640592,840.2365679564225,135.03953245590662
11,Juvenile/Adult,365,318806.3347995423,51026.00366997176,873.442013149431,139.79727032868976
12,Juvenile/Adult,365,329169.80304646294,52499.26903065032,901.8350768396245,143.8336137826036
13,Juvenile/Adult,365,337990.3603579113,53733.95350073388,926.0009872819488,147.21631096091474
14,Juvenile/Adult,365,345492.9343153505,54798.794918263906,946.5559844256178,150.13368470757234
15,Juvenile/Adult,365,351859.2971268675,55711.99796529588,963.998074320185,152.63561086382433
16,Juvenile/Adult,365,357273.1996811889,56526.26160689156,978.8306840580518,154.8664701558673
17,Juvenile/Adult,365,361857.38471333263,57236.44178457593,991.3900951050209,156.81216927281076
18,Juvenile/Adult,365,365744.1039422887,57867.59977867763,1002.0386409377774,158.54136925665102
19,Juvenile/Adult,365,369051.16482451087,58445.95894603962,1011.0990817109887,160.12591492065647
20,Juvenile/Adult,365,371840.28366831044,58945.96120287164,1018.7405032008505,161.49578411745654
21,Juvenile/Adult,365,374202.7407505193,59392.51313146631,1025.2129883575872,162.71921405881181
22,Juvenile/Adult,365,376196.638992605,59781.05700365021,1030.6757232674108,163.78371781821974
23,Juvenile/Adult,365,377885.29026367085,60128.70285167845,1035.3021651059476,164.7361721963793
